uber-10k.csv D = 0.02 M = 10 K = 500 L = 2
Number of points = 10000
Number of Outliers = 236
Cell: (5775, -10457)  Size = 1
Cell: (5756, -10452)  Size = 1
Cell: (5775, -10461)  Size = 1
Cell: (5756, -10500)  Size = 1
Cell: (5746, -10454)  Size = 1
Cell: (5754, -10480)  Size = 1
Cell: (5750, -10476)  Size = 1
Cell: (5788, -10444)  Size = 1
Cell: (5752, -10466)  Size = 1
Cell: (5764, -10452)  Size = 1
Cell: (5752, -10442)  Size = 1
Cell: (5751, -10467)  Size = 1
Cell: (5777, -10449)  Size = 1
Cell: (5751, -10451)  Size = 1
Cell: (5765, -10449)  Size = 1
Cell: (5759, -10511)  Size = 1
Cell: (5755, -10439)  Size = 1
Cell: (5779, -10349)  Size = 1
Cell: (5797, -10443)  Size = 1
Cell: (5779, -10451)  Size = 1
Cell: (5751, -10459)  Size = 1
Cell: (5763, -10459)  Size = 1
Cell: (5752, -10456)  Size = 1
Cell: (5777, -10461)  Size = 1
Cell: (5764, -10448)  Size = 1
Cell: (5798, -10418)  Size = 1
Cell: (5752, -10436)  Size = 1
Cell: (5751, -10449)  Size = 1
Cell: (5753, -10439)  Size = 1
Cell: (5749, -10509)  Size = 1
Cell: (5780, -10478)  Size = 1
Cell: (5740, -10532)  Size = 1
Cell: (5750, -10458)  Size = 1
Cell: (5746, -10452)  Size = 1
Cell: (5763, -10455)  Size = 1
Cell: (5743, -10459)  Size = 1
Cell: (5780, -10450)  Size = 1
Cell: (5760, -10460)  Size = 1
Cell: (5752, -10482)  Size = 1
Cell: (5744, -10468)  Size = 1
Cell: (5760, -10478)  Size = 1
Cell: (5779, -10455)  Size = 1
Cell: (5753, -10453)  Size = 1
Cell: (5783, -10453)  Size = 1
Cell: (5779, -10447)  Size = 1
Cell: (5781, -10459)  Size = 1
Cell: (5754, -10454)  Size = 1
Cell: (5750, -10454)  Size = 1
Cell: (5789, -10441)  Size = 1
Cell: (5762, -10536)  Size = 1
Cell: (5748, -10462)  Size = 1
Cell: (5785, -10467)  Size = 1
Cell: (5747, -10467)  Size = 1
Cell: (5751, -10455)  Size = 1
Cell: (5756, -10440)  Size = 1
Cell: (5777, -10443)  Size = 1
Cell: (5774, -10454)  Size = 1
Cell: (5748, -10448)  Size = 1
Cell: (5773, -10457)  Size = 1
Cell: (5757, -10439)  Size = 1
Cell: (5758, -10516)  Size = 1
Cell: (5750, -10514)  Size = 1
Cell: (5751, -10435)  Size = 1
Cell: (5758, -10438)  Size = 1
Cell: (5754, -10426)  Size = 1
Cell: (5750, -10464)  Size = 1
Cell: (5761, -10411)  Size = 1
Cell: (5756, -10438)  Size = 1
Cell: (5760, -10408)  Size = 1
Cell: (5772, -10450)  Size = 1
Cell: (5746, -10465)  Size = 1
Cell: (5786, -10497)  Size = 1
Cell: (5755, -10464)  Size = 1
Cell: (5770, -10521)  Size = 1
Cell: (5793, -10476)  Size = 1
Cell: (5776, -10475)  Size = 1
Cell: (5767, -10386)  Size = 1
Cell: (5744, -10459)  Size = 1
Cell: (5769, -10416)  Size = 1
Cell: (5771, -10496)  Size = 1
Cell: (5759, -10524)  Size = 1
Cell: (5738, -10461)  Size = 1
Cell: (5772, -10465)  Size = 1
Cell: (5764, -10423)  Size = 1
Cell: (5780, -10467)  Size = 1
Cell: (5775, -10442)  Size = 1
Cell: (5750, -10457)  Size = 1
Cell: (5774, -10455)  Size = 1
Cell: (5741, -10462)  Size = 1
Cell: (5776, -10457)  Size = 1
Cell: (5769, -10454)  Size = 1
Cell: (5758, -10507)  Size = 1
Cell: (5769, -10466)  Size = 1
Cell: (5766, -10451)  Size = 1
Cell: (5769, -10458)  Size = 1
Cell: (5758, -10439)  Size = 1
Cell: (5751, -10434)  Size = 1
Cell: (5767, -10466)  Size = 1
Cell: (5757, -10470)  Size = 1
Cell: (5764, -10443)  Size = 1
Cell: (5760, -10475)  Size = 1
Cell: (5777, -10450)  Size = 1
Cell: (5771, -10468)  Size = 1
Cell: (5746, -10461)  Size = 1
Cell: (5758, -10447)  Size = 1
Cell: (5761, -10410)  Size = 1
Cell: (5760, -10485)  Size = 1
Cell: (5759, -10514)  Size = 1
Cell: (5772, -10453)  Size = 1
Cell: (5783, -10458)  Size = 1
Cell: (5765, -10468)  Size = 1
Cell: (5755, -10426)  Size = 1
Cell: (5759, -10490)  Size = 1
Cell: (5781, -10452)  Size = 1
Cell: (5761, -10490)  Size = 1
Cell: (5731, -10522)  Size = 1
Cell: (5784, -10457)  Size = 1
Cell: (5760, -10457)  Size = 1
Cell: (5735, -10508)  Size = 1
Cell: (5773, -10452)  Size = 1
Cell: (5750, -10433)  Size = 1
